len(selected_patterns):1; curr precision: 0.9958; curr recall: 0.0108; curr f1: 0.0214; curr tp: 1178; curr fp: 5; curr fn: 107973; curr tn: 1563173; precision of pattern: 0.9963; tp, abs. recall of pattern: 1178; pattern: _OTOKEN_perfect; pattern type: l0
len(selected_patterns):354; curr precision: 0.9463; curr recall: 0.4506; curr f1: 0.6104; curr tp: 49178; curr fp: 2793; curr fn: 59973; curr tn: 1560385; precision of pattern: 0.8333; tp, abs. recall of pattern: 62; pattern: _OTOKEN_loving; pattern type: l0
len(selected_patterns):355; curr precision: 0.9463; curr recall: 0.451; curr f1: 0.6109; curr tp: 49230; curr fp: 2794; curr fn: 59921; curr tn: 1560384; precision of pattern: 0.8333; tp, abs. recall of pattern: 52; pattern: _OTOKEN_lacks; pattern type: l0
len(selected_patterns):356; curr precision: 0.9463; curr recall: 0.4514; curr f1: 0.6112; curr tp: 49266; curr fp: 2795; curr fn: 59885; curr tn: 1560383; precision of pattern: 0.8333; tp, abs. recall of pattern: 36; pattern: _OTOKEN_washed; pattern type: l0
len(selected_patterns):357; curr precision: 0.9463; curr recall: 0.4516; curr f1: 0.6114; curr tp: 49294; curr fp: 2797; curr fn: 59857; curr tn: 1560381; precision of pattern: 0.8333; tp, abs. recall of pattern: 28; pattern: _OTOKEN_unhappy; pattern type: l0
len(selected_patterns):358; curr precision: 0.9462; curr recall: 0.4518; curr f1: 0.6116; curr tp: 49319; curr fp: 2802; curr fn: 59832; curr tn: 1560376; precision of pattern: 0.8333; tp, abs. recall of pattern: 25; pattern: _OTOKEN_suck; pattern type: l0
len(selected_patterns):359; curr precision: 0.9461; curr recall: 0.4521; curr f1: 0.6118; curr tp: 49343; curr fp: 2810; curr fn: 59808; curr tn: 1560368; precision of pattern: 0.8333; tp, abs. recall of pattern: 24; pattern: _OTOKEN_funny; pattern type: l0
len(selected_patterns):360; curr precision: 0.9461; curr recall: 0.4522; curr f1: 0.612; curr tp: 49363; curr fp: 2813; curr fn: 59788; curr tn: 1560365; precision of pattern: 0.8333; tp, abs. recall of pattern: 20; pattern: _OTOKEN_malfunction; pattern type: l0
len(selected_patterns):361; curr precision: 0.9457; curr recall: 0.4524; curr f1: 0.612; curr tp: 49382; curr fp: 2838; curr fn: 59769; curr tn: 1560340; precision of pattern: 0.8333; tp, abs. recall of pattern: 19; pattern: _OTOKEN_preferred; pattern type: l0
len(selected_patterns):362; curr precision: 0.9456; curr recall: 0.4526; curr f1: 0.6122; curr tp: 49401; curr fp: 2843; curr fn: 59750; curr tn: 1560335; precision of pattern: 0.8333; tp, abs. recall of pattern: 19; pattern: _OTOKEN_downsides; pattern type: l0
len(selected_patterns):363; curr precision: 0.9456; curr recall: 0.4527; curr f1: 0.6123; curr tp: 49417; curr fp: 2843; curr fn: 59734; curr tn: 1560335; precision of pattern: 0.8333; tp, abs. recall of pattern: 16; pattern: _OTOKEN_lousy; pattern type: l0
len(selected_patterns):364; curr precision: 0.9456; curr recall: 0.4529; curr f1: 0.6124; curr tp: 49432; curr fp: 2845; curr fn: 59719; curr tn: 1560333; precision of pattern: 0.8333; tp, abs. recall of pattern: 15; pattern: _OTOKEN_powerfull; pattern type: l0
len(selected_patterns):365; curr precision: 0.9443; curr recall: 0.4583; curr f1: 0.6171; curr tp: 50022; curr fp: 2950; curr fn: 59129; curr tn: 1560228; precision of pattern: 0.8161; tp, abs. recall of pattern: 590; pattern: _OTOKEN_cheap; pattern type: l0
len(selected_patterns):366; curr precision: 0.9432; curr recall: 0.4615; curr f1: 0.6198; curr tp: 50377; curr fp: 3036; curr fn: 58774; curr tn: 1560142; precision of pattern: 0.8202; tp, abs. recall of pattern: 355; pattern: _OTOKEN_quick; pattern type: l0
len(selected_patterns):367; curr precision: 0.942; curr recall: 0.4644; curr f1: 0.6221; curr tp: 50693; curr fp: 3119; curr fn: 58458; curr tn: 1560059; precision of pattern: 0.8228; tp, abs. recall of pattern: 316; pattern: _OTOKEN_ok; pattern type: l0
len(selected_patterns):368; curr precision: 0.9413; curr recall: 0.4661; curr f1: 0.6235; curr tp: 50875; curr fp: 3172; curr fn: 58276; curr tn: 1560006; precision of pattern: 0.82; tp, abs. recall of pattern: 182; pattern: _OTOKEN_dead; pattern type: l0
len(selected_patterns):369; curr precision: 0.9408; curr recall: 0.4671; curr f1: 0.6242; curr tp: 50981; curr fp: 3206; curr fn: 58170; curr tn: 1559972; precision of pattern: 0.8235; tp, abs. recall of pattern: 106; pattern: _OTOKEN_capable; pattern type: l0
len(selected_patterns):370; curr precision: 0.9404; curr recall: 0.468; curr f1: 0.625; curr tp: 51081; curr fp: 3239; curr fn: 58070; curr tn: 1559939; precision of pattern: 0.8214; tp, abs. recall of pattern: 100; pattern: _OTOKEN_regret; pattern type: l0
len(selected_patterns):371; curr precision: 0.9404; curr recall: 0.4687; curr f1: 0.6256; curr tp: 51161; curr fp: 3241; curr fn: 57990; curr tn: 1559937; precision of pattern: 0.8235; tp, abs. recall of pattern: 80; pattern: _OTOKEN_faulty; pattern type: l0
len(selected_patterns):372; curr precision: 0.9403; curr recall: 0.4691; curr f1: 0.6259; curr tp: 51205; curr fp: 3252; curr fn: 57946; curr tn: 1559926; precision of pattern: 0.8235; tp, abs. recall of pattern: 44; pattern: _OTOKEN_fail; pattern type: l0
len(selected_patterns):373; curr precision: 0.9401; curr recall: 0.4695; curr f1: 0.6262; curr tp: 51245; curr fp: 3263; curr fn: 57906; curr tn: 1559915; precision of pattern: 0.8182; tp, abs. recall of pattern: 40; pattern: _OTOKEN_joke; pattern type: l0
len(selected_patterns):374; curr precision: 0.9399; curr recall: 0.4697; curr f1: 0.6263; curr tp: 51263; curr fp: 3277; curr fn: 57888; curr tn: 1559901; precision of pattern: 0.8182; tp, abs. recall of pattern: 18; pattern: _OTOKEN_moderate; pattern type: l0
len(selected_patterns):375; curr precision: 0.9393; curr recall: 0.4712; curr f1: 0.6276; curr tp: 51433; curr fp: 3325; curr fn: 57718; curr tn: 1559853; precision of pattern: 0.814; tp, abs. recall of pattern: 170; pattern: _OTOKEN_loved; pattern type: l0
len(selected_patterns):376; curr precision: 0.9389; curr recall: 0.4721; curr f1: 0.6282; curr tp: 51525; curr fp: 3355; curr fn: 57626; curr tn: 1559823; precision of pattern: 0.8125; tp, abs. recall of pattern: 92; pattern: _OTOKEN_miss; pattern type: l0
len(selected_patterns):377; curr precision: 0.9369; curr recall: 0.4765; curr f1: 0.6317; curr tp: 52014; curr fp: 3503; curr fn: 57137; curr tn: 1559675; precision of pattern: 0.7989; tp, abs. recall of pattern: 489; pattern: _OTOKEN_worth; pattern type: l0
len(selected_patterns):378; curr precision: 0.9368; curr recall: 0.477; curr f1: 0.6322; curr tp: 52068; curr fp: 3511; curr fn: 57083; curr tn: 1559667; precision of pattern: 0.8; tp, abs. recall of pattern: 54; pattern: _OTOKEN_odd; pattern type: l0
len(selected_patterns):379; curr precision: 0.9369; curr recall: 0.4774; curr f1: 0.6325; curr tp: 52110; curr fp: 3512; curr fn: 57041; curr tn: 1559666; precision of pattern: 0.8; tp, abs. recall of pattern: 42; pattern: _OTOKEN_stiff; pattern type: l0
len(selected_patterns):380; curr precision: 0.9365; curr recall: 0.4778; curr f1: 0.6327; curr tp: 52148; curr fp: 3534; curr fn: 57003; curr tn: 1559644; precision of pattern: 0.8; tp, abs. recall of pattern: 38; pattern: _OTOKEN_frustrated; pattern type: l0
len(selected_patterns):381; curr precision: 0.9365; curr recall: 0.4781; curr f1: 0.633; curr tp: 52181; curr fp: 3540; curr fn: 56970; curr tn: 1559638; precision of pattern: 0.8; tp, abs. recall of pattern: 33; pattern: _OTOKEN_outdated; pattern type: l0
len(selected_patterns):382; curr precision: 0.9364; curr recall: 0.4783; curr f1: 0.6332; curr tp: 52212; curr fp: 3546; curr fn: 56939; curr tn: 1559632; precision of pattern: 0.8; tp, abs. recall of pattern: 31; pattern: _OTOKEN_dislike; pattern type: l0
len(selected_patterns):383; curr precision: 0.9363; curr recall: 0.4786; curr f1: 0.6334; curr tp: 52242; curr fp: 3557; curr fn: 56909; curr tn: 1559621; precision of pattern: 0.8; tp, abs. recall of pattern: 30; pattern: _OTOKEN_par; pattern type: l0
len(selected_patterns):384; curr precision: 0.9362; curr recall: 0.4789; curr f1: 0.6336; curr tp: 52271; curr fp: 3564; curr fn: 56880; curr tn: 1559614; precision of pattern: 0.8; tp, abs. recall of pattern: 29; pattern: _OTOKEN_buggy; pattern type: l0
len(selected_patterns):385; curr precision: 0.9361; curr recall: 0.4791; curr f1: 0.6338; curr tp: 52299; curr fp: 3573; curr fn: 56852; curr tn: 1559605; precision of pattern: 0.8; tp, abs. recall of pattern: 28; pattern: _OTOKEN_thinner; pattern type: l0
len(selected_patterns):386; curr precision: 0.936; curr recall: 0.4794; curr f1: 0.634; curr tp: 52326; curr fp: 3580; curr fn: 56825; curr tn: 1559598; precision of pattern: 0.8; tp, abs. recall of pattern: 27; pattern: _OTOKEN_drawbacks; pattern type: l0
len(selected_patterns):387; curr precision: 0.936; curr recall: 0.4796; curr f1: 0.6342; curr tp: 52351; curr fp: 3581; curr fn: 56800; curr tn: 1559597; precision of pattern: 0.8; tp, abs. recall of pattern: 25; pattern: _OTOKEN_laggy; pattern type: l0
len(selected_patterns):388; curr precision: 0.936; curr recall: 0.4798; curr f1: 0.6344; curr tp: 52375; curr fp: 3583; curr fn: 56776; curr tn: 1559595; precision of pattern: 0.8; tp, abs. recall of pattern: 24; pattern: _OTOKEN_inconvenience; pattern type: l0
len(selected_patterns):389; curr precision: 0.9359; curr recall: 0.48; curr f1: 0.6346; curr tp: 52396; curr fp: 3588; curr fn: 56755; curr tn: 1559590; precision of pattern: 0.8; tp, abs. recall of pattern: 21; pattern: _OTOKEN_slows; pattern type: l0
len(selected_patterns):390; curr precision: 0.9359; curr recall: 0.4802; curr f1: 0.6347; curr tp: 52414; curr fp: 3589; curr fn: 56737; curr tn: 1559589; precision of pattern: 0.8; tp, abs. recall of pattern: 18; pattern: _OTOKEN_false; pattern type: l0
len(selected_patterns):391; curr precision: 0.9358; curr recall: 0.4803; curr f1: 0.6348; curr tp: 52430; curr fp: 3596; curr fn: 56721; curr tn: 1559582; precision of pattern: 0.8; tp, abs. recall of pattern: 16; pattern: _OTOKEN_sticky; pattern type: l0
len(selected_patterns):392; curr precision: 0.9358; curr recall: 0.4805; curr f1: 0.6349; curr tp: 52442; curr fp: 3596; curr fn: 56709; curr tn: 1559582; precision of pattern: 0.8; tp, abs. recall of pattern: 12; pattern: _OTOKEN_workable; pattern type: l0
len(selected_patterns):393; curr precision: 0.9358; curr recall: 0.4806; curr f1: 0.635; curr tp: 52453; curr fp: 3598; curr fn: 56698; curr tn: 1559580; precision of pattern: 0.8; tp, abs. recall of pattern: 11; pattern: _OTOKEN_valid; pattern type: l0
len(selected_patterns):394; curr precision: 0.9358; curr recall: 0.4806; curr f1: 0.6351; curr tp: 52463; curr fp: 3601; curr fn: 56688; curr tn: 1559577; precision of pattern: 0.8; tp, abs. recall of pattern: 10; pattern: _OTOKEN_costly; pattern type: l0
len(selected_patterns):395; curr precision: 0.9351; curr recall: 0.4826; curr f1: 0.6366; curr tp: 52673; curr fp: 3653; curr fn: 56478; curr tn: 1559525; precision of pattern: 0.7917; tp, abs. recall of pattern: 210; pattern: _OTOKEN_thin; pattern type: l0
len(selected_patterns):396; curr precision: 0.9349; curr recall: 0.4843; curr f1: 0.6381; curr tp: 52864; curr fp: 3684; curr fn: 56287; curr tn: 1559494; precision of pattern: 0.7917; tp, abs. recall of pattern: 191; pattern: _OTOKEN_bigger; pattern type: l0
len(selected_patterns):397; curr precision: 0.9346; curr recall: 0.4859; curr f1: 0.6394; curr tp: 53035; curr fp: 3714; curr fn: 56116; curr tn: 1559464; precision of pattern: 0.7857; tp, abs. recall of pattern: 171; pattern: _OTOKEN_lack; pattern type: l0
len(selected_patterns):398; curr precision: 0.9341; curr recall: 0.4868; curr f1: 0.64; curr tp: 53134; curr fp: 3750; curr fn: 56017; curr tn: 1559428; precision of pattern: 0.7931; tp, abs. recall of pattern: 99; pattern: _OTOKEN_pain; pattern type: l0
len(selected_patterns):399; curr precision: 0.9341; curr recall: 0.4873; curr f1: 0.6405; curr tp: 53189; curr fp: 3755; curr fn: 55962; curr tn: 1559423; precision of pattern: 0.7857; tp, abs. recall of pattern: 55; pattern: _OTOKEN_rocks; pattern type: l0
len(selected_patterns):400; curr precision: 0.9336; curr recall: 0.4877; curr f1: 0.6407; curr tp: 53232; curr fp: 3786; curr fn: 55919; curr tn: 1559392; precision of pattern: 0.7778; tp, abs. recall of pattern: 43; pattern: _OTOKEN_quit; pattern type: l0
len(selected_patterns):401; curr precision: 0.9335; curr recall: 0.4881; curr f1: 0.641; curr tp: 53272; curr fp: 3794; curr fn: 55879; curr tn: 1559384; precision of pattern: 0.7778; tp, abs. recall of pattern: 40; pattern: _OTOKEN_breaker; pattern type: l0
len(selected_patterns):402; curr precision: 0.9332; curr recall: 0.4883; curr f1: 0.6412; curr tp: 53303; curr fp: 3814; curr fn: 55848; curr tn: 1559364; precision of pattern: 0.7778; tp, abs. recall of pattern: 31; pattern: _OTOKEN_fancy; pattern type: l0
len(selected_patterns):403; curr precision: 0.9332; curr recall: 0.4886; curr f1: 0.6414; curr tp: 53333; curr fp: 3818; curr fn: 55818; curr tn: 1559360; precision of pattern: 0.7778; tp, abs. recall of pattern: 30; pattern: _OTOKEN_cramped; pattern type: l0
len(selected_patterns):404; curr precision: 0.933; curr recall: 0.4888; curr f1: 0.6415; curr tp: 53349; curr fp: 3829; curr fn: 55802; curr tn: 1559349; precision of pattern: 0.7778; tp, abs. recall of pattern: 16; pattern: _OTOKEN_desired; pattern type: l0
len(selected_patterns):405; curr precision: 0.9326; curr recall: 0.49; curr f1: 0.6425; curr tp: 53486; curr fp: 3864; curr fn: 55665; curr tn: 1559314; precision of pattern: 0.766; tp, abs. recall of pattern: 137; pattern: _OTOKEN_compatible; pattern type: l0
len(selected_patterns):406; curr precision: 0.9324; curr recall: 0.4912; curr f1: 0.6434; curr tp: 53616; curr fp: 3890; curr fn: 55535; curr tn: 1559288; precision of pattern: 0.7714; tp, abs. recall of pattern: 130; pattern: _OTOKEN_okay; pattern type: l0
len(selected_patterns):407; curr precision: 0.9311; curr recall: 0.4945; curr f1: 0.6459; curr tp: 53975; curr fp: 3997; curr fn: 55176; curr tn: 1559181; precision of pattern: 0.7586; tp, abs. recall of pattern: 359; pattern: _OTOKEN_hot; pattern type: l0
len(selected_patterns):408; curr precision: 0.931; curr recall: 0.495; curr f1: 0.6464; curr tp: 54034; curr fp: 4003; curr fn: 55117; curr tn: 1559175; precision of pattern: 0.7619; tp, abs. recall of pattern: 59; pattern: _OTOKEN_sweet; pattern type: l0
len(selected_patterns):409; curr precision: 0.9305; curr recall: 0.4954; curr f1: 0.6466; curr tp: 54074; curr fp: 4039; curr fn: 55077; curr tn: 1559139; precision of pattern: 0.7647; tp, abs. recall of pattern: 40; pattern: _OTOKEN_increase; pattern type: l0
len(selected_patterns):410; curr precision: 0.9298; curr recall: 0.497; curr f1: 0.6477; curr tp: 54247; curr fp: 4097; curr fn: 54904; curr tn: 1559081; precision of pattern: 0.7538; tp, abs. recall of pattern: 173; pattern: _OTOKEN_plenty; pattern type: l0
len(selected_patterns):411; curr precision: 0.9295; curr recall: 0.4975; curr f1: 0.6481; curr tp: 54299; curr fp: 4116; curr fn: 54852; curr tn: 1559062; precision of pattern: 0.75; tp, abs. recall of pattern: 52; pattern: _OTOKEN_enjoying; pattern type: l0
len(selected_patterns):412; curr precision: 0.9294; curr recall: 0.4979; curr f1: 0.6484; curr tp: 54341; curr fp: 4125; curr fn: 54810; curr tn: 1559053; precision of pattern: 0.75; tp, abs. recall of pattern: 42; pattern: _OTOKEN_nightmare; pattern type: l0
len(selected_patterns):413; curr precision: 0.9292; curr recall: 0.4982; curr f1: 0.6486; curr tp: 54379; curr fp: 4141; curr fn: 54772; curr tn: 1559037; precision of pattern: 0.75; tp, abs. recall of pattern: 38; pattern: _OTOKEN_correctly; pattern type: l0
len(selected_patterns):414; curr precision: 0.9289; curr recall: 0.4985; curr f1: 0.6488; curr tp: 54415; curr fp: 4165; curr fn: 54736; curr tn: 1559013; precision of pattern: 0.75; tp, abs. recall of pattern: 36; pattern: _OTOKEN_shiny; pattern type: l0
len(selected_patterns):415; curr precision: 0.9288; curr recall: 0.4989; curr f1: 0.6491; curr tp: 54450; curr fp: 4177; curr fn: 54701; curr tn: 1559001; precision of pattern: 0.75; tp, abs. recall of pattern: 35; pattern: _OTOKEN_joy; pattern type: l0
len(selected_patterns):416; curr precision: 0.9288; curr recall: 0.4991; curr f1: 0.6493; curr tp: 54479; curr fp: 4178; curr fn: 54672; curr tn: 1559000; precision of pattern: 0.75; tp, abs. recall of pattern: 29; pattern: _OTOKEN_spectacular; pattern type: l0
len(selected_patterns):417; curr precision: 0.9286; curr recall: 0.4994; curr f1: 0.6495; curr tp: 54505; curr fp: 4188; curr fn: 54646; curr tn: 1558990; precision of pattern: 0.75; tp, abs. recall of pattern: 26; pattern: _OTOKEN_overpriced; pattern type: l0
len(selected_patterns):418; curr precision: 0.9284; curr recall: 0.4996; curr f1: 0.6496; curr tp: 54530; curr fp: 4208; curr fn: 54621; curr tn: 1558970; precision of pattern: 0.75; tp, abs. recall of pattern: 25; pattern: _OTOKEN_upset; pattern type: l0
len(selected_patterns):419; curr precision: 0.9283; curr recall: 0.4998; curr f1: 0.6497; curr tp: 54553; curr fp: 4216; curr fn: 54598; curr tn: 1558962; precision of pattern: 0.75; tp, abs. recall of pattern: 23; pattern: _OTOKEN_affect; pattern type: l0
len(selected_patterns):420; curr precision: 0.9283; curr recall: 0.5; curr f1: 0.6499; curr tp: 54574; curr fp: 4217; curr fn: 54577; curr tn: 1558961; precision of pattern: 0.75; tp, abs. recall of pattern: 21; pattern: _OTOKEN_greater; pattern type: l0
len(selected_patterns):421; curr precision: 0.9283; curr recall: 0.5002; curr f1: 0.6501; curr tp: 54593; curr fp: 4219; curr fn: 54558; curr tn: 1558959; precision of pattern: 0.75; tp, abs. recall of pattern: 19; pattern: _OTOKEN_finicky; pattern type: l0
len(selected_patterns):422; curr precision: 0.9282; curr recall: 0.5003; curr f1: 0.6502; curr tp: 54609; curr fp: 4224; curr fn: 54542; curr tn: 1558954; precision of pattern: 0.75; tp, abs. recall of pattern: 16; pattern: _OTOKEN_disappear; pattern type: l0
len(selected_patterns):423; curr precision: 0.9281; curr recall: 0.5004; curr f1: 0.6503; curr tp: 54624; curr fp: 4232; curr fn: 54527; curr tn: 1558946; precision of pattern: 0.75; tp, abs. recall of pattern: 15; pattern: _OTOKEN_massive; pattern type: l0
len(selected_patterns):424; curr precision: 0.9278; curr recall: 0.5006; curr f1: 0.6503; curr tp: 54639; curr fp: 4249; curr fn: 54512; curr tn: 1558929; precision of pattern: 0.75; tp, abs. recall of pattern: 15; pattern: _OTOKEN_optional; pattern type: l0
len(selected_patterns):425; curr precision: 0.9278; curr recall: 0.5007; curr f1: 0.6504; curr tp: 54653; curr fp: 4252; curr fn: 54498; curr tn: 1558926; precision of pattern: 0.75; tp, abs. recall of pattern: 14; pattern: _OTOKEN_mushy; pattern type: l0
len(selected_patterns):426; curr precision: 0.9278; curr recall: 0.5008; curr f1: 0.6505; curr tp: 54667; curr fp: 4253; curr fn: 54484; curr tn: 1558925; precision of pattern: 0.75; tp, abs. recall of pattern: 14; pattern: _OTOKEN_warmer; pattern type: l0
len(selected_patterns):427; curr precision: 0.9278; curr recall: 0.5009; curr f1: 0.6506; curr tp: 54678; curr fp: 4257; curr fn: 54473; curr tn: 1558921; precision of pattern: 0.75; tp, abs. recall of pattern: 11; pattern: _OTOKEN_intermittently; pattern type: l0
len(selected_patterns):428; curr precision: 0.9277; curr recall: 0.501; curr f1: 0.6507; curr tp: 54688; curr fp: 4260; curr fn: 54463; curr tn: 1558918; precision of pattern: 0.75; tp, abs. recall of pattern: 10; pattern: _OTOKEN_excessive; pattern type: l0
len(selected_patterns):429; curr precision: 0.9237; curr recall: 0.5093; curr f1: 0.6566; curr tp: 55596; curr fp: 4593; curr fn: 53555; curr tn: 1558585; precision of pattern: 0.7405; tp, abs. recall of pattern: 908; pattern: _OTOKEN_problems; pattern type: l0
len(selected_patterns):430; curr precision: 0.9235; curr recall: 0.5106; curr f1: 0.6576; curr tp: 55728; curr fp: 4617; curr fn: 53423; curr tn: 1558561; precision of pattern: 0.7419; tp, abs. recall of pattern: 132; pattern: _OTOKEN_ease; pattern type: l0
len(selected_patterns):431; curr precision: 0.923; curr recall: 0.5115; curr f1: 0.6582; curr tp: 55830; curr fp: 4655; curr fn: 53321; curr tn: 1558523; precision of pattern: 0.725; tp, abs. recall of pattern: 102; pattern: _OTOKEN_compact; pattern type: l0
len(selected_patterns):432; curr precision: 0.9228; curr recall: 0.5119; curr f1: 0.6585; curr tp: 55873; curr fp: 4671; curr fn: 53278; curr tn: 1558507; precision of pattern: 0.7273; tp, abs. recall of pattern: 43; pattern: _OTOKEN_soft; pattern type: l0
len(selected_patterns):433; curr precision: 0.9226; curr recall: 0.5122; curr f1: 0.6587; curr tp: 55908; curr fp: 4691; curr fn: 53243; curr tn: 1558487; precision of pattern: 0.7273; tp, abs. recall of pattern: 35; pattern: _OTOKEN_highest; pattern type: l0
len(selected_patterns):434; curr precision: 0.9225; curr recall: 0.5124; curr f1: 0.6589; curr tp: 55933; curr fp: 4700; curr fn: 53218; curr tn: 1558478; precision of pattern: 0.7273; tp, abs. recall of pattern: 25; pattern: _OTOKEN_intense; pattern type: l0
len(selected_patterns):435; curr precision: 0.9225; curr recall: 0.5126; curr f1: 0.659; curr tp: 55956; curr fp: 4703; curr fn: 53195; curr tn: 1558475; precision of pattern: 0.7273; tp, abs. recall of pattern: 23; pattern: _OTOKEN_accessible; pattern type: l0
len(selected_patterns):436; curr precision: 0.9224; curr recall: 0.5128; curr f1: 0.6591; curr tp: 55971; curr fp: 4710; curr fn: 53180; curr tn: 1558468; precision of pattern: 0.7273; tp, abs. recall of pattern: 15; pattern: _OTOKEN_positives; pattern type: l0
len(selected_patterns):437; curr precision: 0.9183; curr recall: 0.5227; curr f1: 0.6662; curr tp: 57052; curr fp: 5076; curr fn: 52099; curr tn: 1558102; precision of pattern: 0.7227; tp, abs. recall of pattern: 1081; pattern: _OTOKEN_best; pattern type: l0
len(selected_patterns):438; curr precision: 0.9179; curr recall: 0.523; curr f1: 0.6663; curr tp: 57087; curr fp: 5109; curr fn: 52064; curr tn: 1558069; precision of pattern: 0.7222; tp, abs. recall of pattern: 35; pattern: _OTOKEN_disable; pattern type: l0
len(selected_patterns):439; curr precision: 0.917; curr recall: 0.5256; curr f1: 0.6682; curr tp: 57374; curr fp: 5196; curr fn: 51777; curr tn: 1557982; precision of pattern: 0.7067; tp, abs. recall of pattern: 287; pattern: _OTOKEN_loves; pattern type: l0
len(selected_patterns):440; curr precision: 0.9162; curr recall: 0.5268; curr f1: 0.669; curr tp: 57505; curr fp: 5259; curr fn: 51646; curr tn: 1557919; precision of pattern: 0.7097; tp, abs. recall of pattern: 131; pattern: _OTOKEN_cheaper; pattern type: l0
len(selected_patterns):441; curr precision: 0.9159; curr recall: 0.528; curr f1: 0.6698; curr tp: 57630; curr fp: 5294; curr fn: 51521; curr tn: 1557884; precision of pattern: 0.7059; tp, abs. recall of pattern: 125; pattern: _OTOKEN_functional; pattern type: l0
len(selected_patterns):442; curr precision: 0.9156; curr recall: 0.5283; curr f1: 0.67; curr tp: 57668; curr fp: 5315; curr fn: 51483; curr tn: 1557863; precision of pattern: 0.7143; tp, abs. recall of pattern: 38; pattern: _OTOKEN_bulky; pattern type: l0
len(selected_patterns):443; curr precision: 0.9155; curr recall: 0.5287; curr f1: 0.6703; curr tp: 57703; curr fp: 5325; curr fn: 51448; curr tn: 1557853; precision of pattern: 0.7143; tp, abs. recall of pattern: 35; pattern: _OTOKEN_complicated; pattern type: l0
len(selected_patterns):444; curr precision: 0.9155; curr recall: 0.5289; curr f1: 0.6705; curr tp: 57728; curr fp: 5325; curr fn: 51423; curr tn: 1557853; precision of pattern: 0.7143; tp, abs. recall of pattern: 25; pattern: _OTOKEN_mediocre; pattern type: l0
len(selected_patterns):445; curr precision: 0.9155; curr recall: 0.5291; curr f1: 0.6706; curr tp: 57752; curr fp: 5330; curr fn: 51399; curr tn: 1557848; precision of pattern: 0.7143; tp, abs. recall of pattern: 24; pattern: _OTOKEN_badly; pattern type: l0
len(selected_patterns):446; curr precision: 0.9154; curr recall: 0.5293; curr f1: 0.6708; curr tp: 57775; curr fp: 5341; curr fn: 51376; curr tn: 1557837; precision of pattern: 0.7143; tp, abs. recall of pattern: 23; pattern: _OTOKEN_pricey; pattern type: l0
len(selected_patterns):447; curr precision: 0.9154; curr recall: 0.5295; curr f1: 0.6709; curr tp: 57798; curr fp: 5342; curr fn: 51353; curr tn: 1557836; precision of pattern: 0.7143; tp, abs. recall of pattern: 23; pattern: _OTOKEN_blurry; pattern type: l0
len(selected_patterns):448; curr precision: 0.9153; curr recall: 0.5297; curr f1: 0.6711; curr tp: 57818; curr fp: 5348; curr fn: 51333; curr tn: 1557830; precision of pattern: 0.7143; tp, abs. recall of pattern: 20; pattern: _OTOKEN_hurt; pattern type: l0
len(selected_patterns):449; curr precision: 0.9153; curr recall: 0.5299; curr f1: 0.6712; curr tp: 57838; curr fp: 5350; curr fn: 51313; curr tn: 1557828; precision of pattern: 0.7143; tp, abs. recall of pattern: 20; pattern: _OTOKEN_removable; pattern type: l0
len(selected_patterns):450; curr precision: 0.9153; curr recall: 0.53; curr f1: 0.6713; curr tp: 57854; curr fp: 5354; curr fn: 51297; curr tn: 1557824; precision of pattern: 0.7143; tp, abs. recall of pattern: 16; pattern: _OTOKEN_killer; pattern type: l0
len(selected_patterns):451; curr precision: 0.9151; curr recall: 0.5301; curr f1: 0.6713; curr tp: 57864; curr fp: 5370; curr fn: 51287; curr tn: 1557808; precision of pattern: 0.7143; tp, abs. recall of pattern: 10; pattern: _OTOKEN_champ; pattern type: l0
len(selected_patterns):452; curr precision: 0.9117; curr recall: 0.5364; curr f1: 0.6755; curr tp: 58554; curr fp: 5668; curr fn: 50597; curr tn: 1557510; precision of pattern: 0.7014; tp, abs. recall of pattern: 690; pattern: _OTOKEN_issues; pattern type: l0
len(selected_patterns):453; curr precision: 0.9111; curr recall: 0.5375; curr f1: 0.6761; curr tp: 58672; curr fp: 5728; curr fn: 50479; curr tn: 1557450; precision of pattern: 0.6977; tp, abs. recall of pattern: 118; pattern: _OTOKEN_lower; pattern type: l0
len(selected_patterns):454; curr precision: 0.911; curr recall: 0.5379; curr f1: 0.6764; curr tp: 58709; curr fp: 5738; curr fn: 50442; curr tn: 1557440; precision of pattern: 0.7; tp, abs. recall of pattern: 37; pattern: _OTOKEN_dirty; pattern type: l0
len(selected_patterns):455; curr precision: 0.9097; curr recall: 0.5397; curr f1: 0.6775; curr tp: 58909; curr fp: 5850; curr fn: 50242; curr tn: 1557328; precision of pattern: 0.6885; tp, abs. recall of pattern: 200; pattern: _OTOKEN_larger; pattern type: l0
len(selected_patterns):456; curr precision: 0.9091; curr recall: 0.541; curr f1: 0.6784; curr tp: 59055; curr fp: 5902; curr fn: 50096; curr tn: 1557276; precision of pattern: 0.6935; tp, abs. recall of pattern: 146; pattern: _OTOKEN_broke; pattern type: l0
len(selected_patterns):457; curr precision: 0.9085; curr recall: 0.5413; curr f1: 0.6784; curr tp: 59084; curr fp: 5950; curr fn: 50067; curr tn: 1557228; precision of pattern: 0.6875; tp, abs. recall of pattern: 29; pattern: _OTOKEN_slight; pattern type: l0
