len(selected_patterns):1; curr precision: 0.9945; curr recall: 0.014; curr f1: 0.0276; curr tp: 2157; curr fp: 12; curr fn: 152008; curr tn: 1353347; precision of pattern: 0.9959; tp, abs. recall of pattern: 2157; pattern: ('DEP_nsubj', 'WORD', '_ATOKEN_service'); pattern type: l1
len(selected_patterns):3738; curr precision: 0.8979; curr recall: 0.4665; curr f1: 0.614; curr tp: 71924; curr fp: 8175; curr fn: 82241; curr tn: 1345184; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near2', '_ATOKEN_sausage', 'TOKEN_.'); pattern type: l1
len(selected_patterns):3739; curr precision: 0.8979; curr recall: 0.4666; curr f1: 0.6141; curr tp: 71929; curr fp: 8177; curr fn: 82236; curr tn: 1345182; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near2', 'TOKEN_a', '_ATOKEN_fried'); pattern type: l1
len(selected_patterns):3740; curr precision: 0.8979; curr recall: 0.4666; curr f1: 0.6141; curr tp: 71941; curr fp: 8179; curr fn: 82224; curr tn: 1345180; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_det', '_ATOKEN_tvs', 'WORD'); pattern type: l1
len(selected_patterns):3741; curr precision: 0.8979; curr recall: 0.4667; curr f1: 0.6141; curr tp: 71945; curr fp: 8182; curr fn: 82220; curr tn: 1345177; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('COREF_root', 'WORD', '_ATOKEN_entree'); pattern type: l1
len(selected_patterns):3742; curr precision: 0.8978; curr recall: 0.4667; curr f1: 0.6142; curr tp: 71951; curr fp: 8190; curr fn: 82214; curr tn: 1345169; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near1', '_AWORD', 'TOKEN_puff'); pattern type: l1
len(selected_patterns):3743; curr precision: 0.8978; curr recall: 0.4668; curr f1: 0.6142; curr tp: 71958; curr fp: 8190; curr fn: 82207; curr tn: 1345169; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_compound', 'TOKEN_fajitas', '_AWORD'); pattern type: l1
len(selected_patterns):3744; curr precision: 0.8978; curr recall: 0.4668; curr f1: 0.6143; curr tp: 71967; curr fp: 8192; curr fn: 82198; curr tn: 1345167; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near1', 'TOKEN_a', '_ATOKEN_lemon'); pattern type: l1
len(selected_patterns):3745; curr precision: 0.8978; curr recall: 0.4669; curr f1: 0.6143; curr tp: 71974; curr fp: 8194; curr fn: 82191; curr tn: 1345165; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_list', 'TOKEN_beef', '_AWORD'); pattern type: l1
len(selected_patterns):3746; curr precision: 0.8978; curr recall: 0.4669; curr f1: 0.6143; curr tp: 71977; curr fp: 8194; curr fn: 82188; curr tn: 1345165; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near2', '_ATOKEN_pizza', 'TOKEN_great'); pattern type: l1
len(selected_patterns):3747; curr precision: 0.8978; curr recall: 0.4669; curr f1: 0.6143; curr tp: 71978; curr fp: 8194; curr fn: 82187; curr tn: 1345165; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('SRL_arg1', 'TOKEN_were', '_ATOKEN_vegetables'); pattern type: l1
len(selected_patterns):3748; curr precision: 0.8978; curr recall: 0.4669; curr f1: 0.6143; curr tp: 71982; curr fp: 8194; curr fn: 82183; curr tn: 1345165; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('SRL_none', 'WORD', '_ATOKEN_beans'); pattern type: l1
len(selected_patterns):3749; curr precision: 0.8978; curr recall: 0.467; curr f1: 0.6144; curr tp: 71989; curr fp: 8197; curr fn: 82176; curr tn: 1345162; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_punct', '_ATOKEN_sticks', 'WORD'); pattern type: l1
len(selected_patterns):3750; curr precision: 0.8978; curr recall: 0.467; curr f1: 0.6144; curr tp: 71995; curr fp: 8198; curr fn: 82170; curr tn: 1345161; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_conj', 'TOKEN_ricotta', '_AWORD'); pattern type: l1
len(selected_patterns):3751; curr precision: 0.8978; curr recall: 0.467; curr f1: 0.6144; curr tp: 71996; curr fp: 8198; curr fn: 82169; curr tn: 1345161; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('SRL_arg1', 'TOKEN_got', '_ATOKEN_roll'); pattern type: l1
len(selected_patterns):3752; curr precision: 0.8978; curr recall: 0.467; curr f1: 0.6144; curr tp: 71997; curr fp: 8198; curr fn: 82168; curr tn: 1345161; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('SRL_arg1', 'TOKEN_fried', '_ATOKEN_green'); pattern type: l1
len(selected_patterns):3753; curr precision: 0.8978; curr recall: 0.4671; curr f1: 0.6145; curr tp: 72005; curr fp: 8200; curr fn: 82160; curr tn: 1345159; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_case', '_ATOKEN_view', 'TOKEN_with'); pattern type: l1
len(selected_patterns):3754; curr precision: 0.8978; curr recall: 0.4671; curr f1: 0.6145; curr tp: 72018; curr fp: 8200; curr fn: 82147; curr tn: 1345159; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('SRL_arg1', '_ATOKEN_candied', 'WORD'); pattern type: l1
len(selected_patterns):3755; curr precision: 0.8978; curr recall: 0.4672; curr f1: 0.6146; curr tp: 72027; curr fp: 8200; curr fn: 82138; curr tn: 1345159; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_conj', 'TOKEN_nutella', '_AWORD'); pattern type: l1
len(selected_patterns):3756; curr precision: 0.8978; curr recall: 0.4672; curr f1: 0.6146; curr tp: 72029; curr fp: 8200; curr fn: 82136; curr tn: 1345159; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('SRL_arg1', 'WORD', '_ATOKEN_fillings'); pattern type: l1
len(selected_patterns):3757; curr precision: 0.8978; curr recall: 0.4673; curr f1: 0.6147; curr tp: 72043; curr fp: 8201; curr fn: 82122; curr tn: 1345158; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near2', 'TOKEN_great', '_ATOKEN_hour'); pattern type: l1
len(selected_patterns):3758; curr precision: 0.8978; curr recall: 0.4674; curr f1: 0.6147; curr tp: 72055; curr fp: 8202; curr fn: 82110; curr tn: 1345157; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_compound', 'TOKEN_mustard', '_AWORD'); pattern type: l1
len(selected_patterns):3759; curr precision: 0.8978; curr recall: 0.4674; curr f1: 0.6148; curr tp: 72064; curr fp: 8202; curr fn: 82101; curr tn: 1345157; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_compound', 'TOKEN_shawarma', '_AWORD'); pattern type: l1
len(selected_patterns):3760; curr precision: 0.8978; curr recall: 0.4675; curr f1: 0.6148; curr tp: 72069; curr fp: 8205; curr fn: 82096; curr tn: 1345154; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_acl', '_ATOKEN_fries', 'WORD'); pattern type: l1
len(selected_patterns):3761; curr precision: 0.8978; curr recall: 0.4675; curr f1: 0.6148; curr tp: 72073; curr fp: 8205; curr fn: 82092; curr tn: 1345154; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_det', '_ATOKEN_tapas', 'TOKEN_the'); pattern type: l1
len(selected_patterns):3762; curr precision: 0.8978; curr recall: 0.4676; curr f1: 0.6149; curr tp: 72087; curr fp: 8206; curr fn: 82078; curr tn: 1345153; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_case', '_ATOKEN_teas', 'WORD'); pattern type: l1
len(selected_patterns):3763; curr precision: 0.8978; curr recall: 0.4677; curr f1: 0.615; curr tp: 72100; curr fp: 8208; curr fn: 82065; curr tn: 1345151; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near2', 'TOKEN_though', '_ATOKEN_place'); pattern type: l1
len(selected_patterns):3764; curr precision: 0.8978; curr recall: 0.4677; curr f1: 0.615; curr tp: 72103; curr fp: 8209; curr fn: 82062; curr tn: 1345150; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near2', '_ATOKEN_owner', 'TOKEN_very'); pattern type: l1
len(selected_patterns):3765; curr precision: 0.8978; curr recall: 0.4677; curr f1: 0.615; curr tp: 72109; curr fp: 8210; curr fn: 82056; curr tn: 1345149; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near2', '_ATOKEN_chicken', 'TOKEN_salad'); pattern type: l1
len(selected_patterns):3766; curr precision: 0.8978; curr recall: 0.4678; curr f1: 0.6151; curr tp: 72115; curr fp: 8210; curr fn: 82050; curr tn: 1345149; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_cop', '_ATOKEN_burger', 'TOKEN_is'); pattern type: l1
len(selected_patterns):3767; curr precision: 0.8978; curr recall: 0.4678; curr f1: 0.6151; curr tp: 72118; curr fp: 8210; curr fn: 82047; curr tn: 1345149; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near1', 'TOKEN_the', '_ATOKEN_tapas'); pattern type: l1
len(selected_patterns):3768; curr precision: 0.8978; curr recall: 0.4678; curr f1: 0.6151; curr tp: 72126; curr fp: 8212; curr fn: 82039; curr tn: 1345147; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_det', '_ATOKEN_entree', 'TOKEN_a'); pattern type: l1
len(selected_patterns):3769; curr precision: 0.8978; curr recall: 0.4679; curr f1: 0.6152; curr tp: 72132; curr fp: 8212; curr fn: 82033; curr tn: 1345147; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_nsubj', 'TOKEN_fresh', '_ATOKEN_fish'); pattern type: l1
len(selected_patterns):3770; curr precision: 0.8978; curr recall: 0.4679; curr f1: 0.6152; curr tp: 72133; curr fp: 8212; curr fn: 82032; curr tn: 1345147; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near1', '_ATOKEN_thai', 'TOKEN_iced'); pattern type: l1
len(selected_patterns):3771; curr precision: 0.8978; curr recall: 0.4679; curr f1: 0.6152; curr tp: 72138; curr fp: 8214; curr fn: 82027; curr tn: 1345145; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('SRL_arg1', "TOKEN_'s", '_ATOKEN_seating'); pattern type: l1
len(selected_patterns):3772; curr precision: 0.8978; curr recall: 0.4679; curr f1: 0.6152; curr tp: 72140; curr fp: 8215; curr fn: 82025; curr tn: 1345144; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_nummod', '_ATOKEN_sauces', 'WORD'); pattern type: l1
len(selected_patterns):3773; curr precision: 0.8978; curr recall: 0.4679; curr f1: 0.6152; curr tp: 72141; curr fp: 8215; curr fn: 82024; curr tn: 1345144; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near2', '_ATOKEN_french', 'TOKEN_with'); pattern type: l1
len(selected_patterns):3774; curr precision: 0.8978; curr recall: 0.468; curr f1: 0.6152; curr tp: 72143; curr fp: 8215; curr fn: 82022; curr tn: 1345144; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_amod', 'TOKEN_salad', '_ATOKEN_grilled'); pattern type: l1
len(selected_patterns):3775; curr precision: 0.8978; curr recall: 0.4681; curr f1: 0.6153; curr tp: 72157; curr fp: 8217; curr fn: 82008; curr tn: 1345142; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near2', '_ATOKEN_lunch', 'TOKEN_are'); pattern type: l1
len(selected_patterns):3776; curr precision: 0.8978; curr recall: 0.4681; curr f1: 0.6153; curr tp: 72158; curr fp: 8217; curr fn: 82007; curr tn: 1345142; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near1', '_ATOKEN_cake', 'TOKEN_with'); pattern type: l1
len(selected_patterns):3777; curr precision: 0.8977; curr recall: 0.4681; curr f1: 0.6154; curr tp: 72169; curr fp: 8224; curr fn: 81996; curr tn: 1345135; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('SRL_arg2', 'WORD', '_ATOKEN_balls'); pattern type: l1
len(selected_patterns):3778; curr precision: 0.8977; curr recall: 0.4682; curr f1: 0.6154; curr tp: 72175; curr fp: 8224; curr fn: 81990; curr tn: 1345135; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_conj', '_ATOKEN_nutella', 'WORD'); pattern type: l1
len(selected_patterns):3779; curr precision: 0.8977; curr recall: 0.4682; curr f1: 0.6155; curr tp: 72185; curr fp: 8225; curr fn: 81980; curr tn: 1345134; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_amod', '_ATOKEN_sauce', 'TOKEN_delicious'); pattern type: l1
len(selected_patterns):3780; curr precision: 0.8977; curr recall: 0.4683; curr f1: 0.6155; curr tp: 72192; curr fp: 8228; curr fn: 81973; curr tn: 1345131; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near2', 'TOKEN_of', '_ATOKEN_seating'); pattern type: l1
len(selected_patterns):3781; curr precision: 0.8977; curr recall: 0.4683; curr f1: 0.6155; curr tp: 72195; curr fp: 8228; curr fn: 81970; curr tn: 1345131; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near2', 'TOKEN_chocolate', '_ATOKEN_cake'); pattern type: l1
len(selected_patterns):3782; curr precision: 0.8976; curr recall: 0.4683; curr f1: 0.6155; curr tp: 72201; curr fp: 8234; curr fn: 81964; curr tn: 1345125; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('SRL_argm-adv', 'WORD', '_ATOKEN_tea'); pattern type: l1
len(selected_patterns):3783; curr precision: 0.8976; curr recall: 0.4684; curr f1: 0.6156; curr tp: 72209; curr fp: 8237; curr fn: 81956; curr tn: 1345122; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near2', '_ATOKEN_bbq', 'TOKEN_,'); pattern type: l1
len(selected_patterns):3784; curr precision: 0.8976; curr recall: 0.4684; curr f1: 0.6156; curr tp: 72218; curr fp: 8240; curr fn: 81947; curr tn: 1345119; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('SRL_arg1', 'TOKEN_like', '_ATOKEN_sauce'); pattern type: l1
len(selected_patterns):3785; curr precision: 0.8976; curr recall: 0.4685; curr f1: 0.6156; curr tp: 72219; curr fp: 8240; curr fn: 81946; curr tn: 1345119; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near2', '_ATOKEN_sandwich', 'TOKEN_very'); pattern type: l1
len(selected_patterns):3786; curr precision: 0.8976; curr recall: 0.4685; curr f1: 0.6156; curr tp: 72220; curr fp: 8240; curr fn: 81945; curr tn: 1345119; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near2', 'TOKEN_a', '_ATOKEN_pork'); pattern type: l1
len(selected_patterns):3787; curr precision: 0.8976; curr recall: 0.4685; curr f1: 0.6156; curr tp: 72221; curr fp: 8240; curr fn: 81944; curr tn: 1345119; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near1', '_ATOKEN_brunch', 'TOKEN_is'); pattern type: l1
len(selected_patterns):3788; curr precision: 0.8976; curr recall: 0.4685; curr f1: 0.6156; curr tp: 72224; curr fp: 8240; curr fn: 81941; curr tn: 1345119; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('SRL_arg1', 'TOKEN_iced', '_ATOKEN_tea'); pattern type: l1
len(selected_patterns):3789; curr precision: 0.8975; curr recall: 0.4685; curr f1: 0.6157; curr tp: 72230; curr fp: 8245; curr fn: 81935; curr tn: 1345114; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near2', '_ATOKEN_customer', 'TOKEN_!'); pattern type: l1
len(selected_patterns):3790; curr precision: 0.8974; curr recall: 0.4686; curr f1: 0.6157; curr tp: 72243; curr fp: 8256; curr fn: 81922; curr tn: 1345103; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_acl:relcl', '_ATOKEN_buffet', 'WORD'); pattern type: l1
len(selected_patterns):3791; curr precision: 0.8975; curr recall: 0.4687; curr f1: 0.6158; curr tp: 72254; curr fp: 8256; curr fn: 81911; curr tn: 1345103; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('COREF_coref', '_ATOKEN_chips', 'TOKEN_it'); pattern type: l1
len(selected_patterns):3792; curr precision: 0.8975; curr recall: 0.4687; curr f1: 0.6158; curr tp: 72257; curr fp: 8256; curr fn: 81908; curr tn: 1345103; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near2', '_ATOKEN_corn', 'TOKEN_the'); pattern type: l1
len(selected_patterns):3793; curr precision: 0.8975; curr recall: 0.4687; curr f1: 0.6158; curr tp: 72259; curr fp: 8256; curr fn: 81906; curr tn: 1345103; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near2', 'TOKEN_ordered', '_ATOKEN_fried'); pattern type: l1
len(selected_patterns):3794; curr precision: 0.8974; curr recall: 0.4688; curr f1: 0.6158; curr tp: 72269; curr fp: 8264; curr fn: 81896; curr tn: 1345095; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('COREF_coref', '_ATOKEN_ice', 'WORD'); pattern type: l1
len(selected_patterns):3795; curr precision: 0.8974; curr recall: 0.4688; curr f1: 0.6159; curr tp: 72270; curr fp: 8264; curr fn: 81895; curr tn: 1345095; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_punct', '_ATOKEN_pizzas', 'WORD'); pattern type: l1
len(selected_patterns):3796; curr precision: 0.8974; curr recall: 0.4688; curr f1: 0.6159; curr tp: 72274; curr fp: 8264; curr fn: 81891; curr tn: 1345095; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_conj', '_ATOKEN_noodle', 'WORD'); pattern type: l1
len(selected_patterns):3797; curr precision: 0.8974; curr recall: 0.4688; curr f1: 0.6159; curr tp: 72276; curr fp: 8266; curr fn: 81889; curr tn: 1345093; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('SRL_arg2', 'WORD', '_ATOKEN_turkey'); pattern type: l1
len(selected_patterns):3798; curr precision: 0.8974; curr recall: 0.4689; curr f1: 0.6159; curr tp: 72281; curr fp: 8266; curr fn: 81884; curr tn: 1345093; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_compound', '_ATOKEN_burger', 'TOKEN_bacon'); pattern type: l1
len(selected_patterns):3799; curr precision: 0.8974; curr recall: 0.4689; curr f1: 0.616; curr tp: 72295; curr fp: 8267; curr fn: 81870; curr tn: 1345092; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near1', 'TOKEN_the', '_ATOKEN_pickled'); pattern type: l1
len(selected_patterns):3800; curr precision: 0.8974; curr recall: 0.469; curr f1: 0.616; curr tp: 72300; curr fp: 8270; curr fn: 81865; curr tn: 1345089; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_appos', '_AWORD', 'TOKEN_beef'); pattern type: l1
len(selected_patterns):3801; curr precision: 0.8973; curr recall: 0.469; curr f1: 0.616; curr tp: 72301; curr fp: 8271; curr fn: 81864; curr tn: 1345088; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('COREF_coref', 'WORD', '_ATOKEN_service'); pattern type: l1
len(selected_patterns):3802; curr precision: 0.8973; curr recall: 0.469; curr f1: 0.616; curr tp: 72302; curr fp: 8271; curr fn: 81863; curr tn: 1345088; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near2', 'TOKEN_chicken', '_ATOKEN_salad'); pattern type: l1
len(selected_patterns):3803; curr precision: 0.8973; curr recall: 0.469; curr f1: 0.6161; curr tp: 72309; curr fp: 8273; curr fn: 81856; curr tn: 1345086; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near1', 'TOKEN_cocktail', '_ATOKEN_menu'); pattern type: l1
len(selected_patterns):3804; curr precision: 0.8973; curr recall: 0.4691; curr f1: 0.6161; curr tp: 72322; curr fp: 8274; curr fn: 81843; curr tn: 1345085; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('SRL_arg1', 'TOKEN_had', '_ATOKEN_chinese'); pattern type: l1
len(selected_patterns):3805; curr precision: 0.8973; curr recall: 0.4691; curr f1: 0.6161; curr tp: 72325; curr fp: 8275; curr fn: 81840; curr tn: 1345084; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('SRL_argm-tmp', 'WORD', '_ATOKEN_soup'); pattern type: l1
len(selected_patterns):3806; curr precision: 0.8973; curr recall: 0.4692; curr f1: 0.6162; curr tp: 72334; curr fp: 8278; curr fn: 81831; curr tn: 1345081; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near2', 'TOKEN_and', '_ATOKEN_specials'); pattern type: l1
len(selected_patterns):3807; curr precision: 0.8973; curr recall: 0.4692; curr f1: 0.6162; curr tp: 72339; curr fp: 8279; curr fn: 81826; curr tn: 1345080; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_parataxis', 'WORD', '_ATOKEN_pizza'); pattern type: l1
len(selected_patterns):3808; curr precision: 0.8973; curr recall: 0.4692; curr f1: 0.6162; curr tp: 72340; curr fp: 8279; curr fn: 81825; curr tn: 1345080; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near1', 'TOKEN_egg', '_ATOKEN_sandwich'); pattern type: l1
len(selected_patterns):3809; curr precision: 0.8973; curr recall: 0.4693; curr f1: 0.6163; curr tp: 72349; curr fp: 8281; curr fn: 81816; curr tn: 1345078; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_compound', 'TOKEN_caramel', '_AWORD'); pattern type: l1
len(selected_patterns):3810; curr precision: 0.8973; curr recall: 0.4694; curr f1: 0.6163; curr tp: 72362; curr fp: 8285; curr fn: 81803; curr tn: 1345074; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('SRL_arg1', 'TOKEN_were', '_ATOKEN_bar'); pattern type: l1
len(selected_patterns):3811; curr precision: 0.8973; curr recall: 0.4694; curr f1: 0.6163; curr tp: 72363; curr fp: 8285; curr fn: 81802; curr tn: 1345074; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near1', '_ATOKEN_atmosphere', 'TOKEN_with'); pattern type: l1
len(selected_patterns):3812; curr precision: 0.8973; curr recall: 0.4694; curr f1: 0.6164; curr tp: 72368; curr fp: 8285; curr fn: 81797; curr tn: 1345074; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('SRL_arg1', '_ATOKEN_iced', 'TOKEN_tea'); pattern type: l1
len(selected_patterns):3813; curr precision: 0.8972; curr recall: 0.4695; curr f1: 0.6164; curr tp: 72381; curr fp: 8295; curr fn: 81784; curr tn: 1345064; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near2', 'TOKEN_the', '_ATOKEN_mexican'); pattern type: l1
len(selected_patterns):3814; curr precision: 0.8972; curr recall: 0.4695; curr f1: 0.6165; curr tp: 72386; curr fp: 8295; curr fn: 81779; curr tn: 1345064; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('SRL_arg1', 'TOKEN_loved', '_ATOKEN_chicken'); pattern type: l1
len(selected_patterns):3815; curr precision: 0.8972; curr recall: 0.4696; curr f1: 0.6165; curr tp: 72391; curr fp: 8295; curr fn: 81774; curr tn: 1345064; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near2', 'TOKEN_that', '_ATOKEN_kitchen'); pattern type: l1
len(selected_patterns):3816; curr precision: 0.8972; curr recall: 0.4696; curr f1: 0.6165; curr tp: 72396; curr fp: 8295; curr fn: 81769; curr tn: 1345064; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_nmod', 'TOKEN_most', '_ATOKEN_food'); pattern type: l1
len(selected_patterns):3817; curr precision: 0.8972; curr recall: 0.4696; curr f1: 0.6165; curr tp: 72399; curr fp: 8295; curr fn: 81766; curr tn: 1345064; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('SRL_arg1', 'TOKEN_overpriced', '_ATOKEN_food'); pattern type: l1
len(selected_patterns):3818; curr precision: 0.8972; curr recall: 0.4696; curr f1: 0.6166; curr tp: 72403; curr fp: 8295; curr fn: 81762; curr tn: 1345064; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near1', 'TOKEN_and', '_ATOKEN_french'); pattern type: l1
len(selected_patterns):3819; curr precision: 0.8972; curr recall: 0.4697; curr f1: 0.6166; curr tp: 72415; curr fp: 8299; curr fn: 81750; curr tn: 1345060; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_compound', 'TOKEN_rooms', '_AWORD'); pattern type: l1
len(selected_patterns):3820; curr precision: 0.8972; curr recall: 0.4698; curr f1: 0.6167; curr tp: 72423; curr fp: 8299; curr fn: 81742; curr tn: 1345060; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_conj', 'TOKEN_food', '_ATOKEN_location'); pattern type: l1
len(selected_patterns):3821; curr precision: 0.8972; curr recall: 0.4698; curr f1: 0.6167; curr tp: 72425; curr fp: 8300; curr fn: 81740; curr tn: 1345059; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near2', '_ATOKEN_cheese', 'TOKEN_which'); pattern type: l1
len(selected_patterns):3822; curr precision: 0.8972; curr recall: 0.4698; curr f1: 0.6167; curr tp: 72428; curr fp: 8300; curr fn: 81737; curr tn: 1345059; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_conj', '_ATOKEN_service', 'TOKEN_quality'); pattern type: l1
len(selected_patterns):3823; curr precision: 0.8972; curr recall: 0.4698; curr f1: 0.6167; curr tp: 72431; curr fp: 8300; curr fn: 81734; curr tn: 1345059; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('SRL_arg1', 'TOKEN_tried', '_ATOKEN_pork'); pattern type: l1
len(selected_patterns):3824; curr precision: 0.8972; curr recall: 0.4698; curr f1: 0.6167; curr tp: 72432; curr fp: 8300; curr fn: 81733; curr tn: 1345059; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_cc', '_ATOKEN_ramen', 'WORD'); pattern type: l1
len(selected_patterns):3825; curr precision: 0.8972; curr recall: 0.4698; curr f1: 0.6167; curr tp: 72434; curr fp: 8303; curr fn: 81731; curr tn: 1345056; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near2', 'TOKEN_and', '_ATOKEN_grilled'); pattern type: l1
len(selected_patterns):3826; curr precision: 0.8971; curr recall: 0.4699; curr f1: 0.6168; curr tp: 72444; curr fp: 8308; curr fn: 81721; curr tn: 1345051; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('PROX_near1', '_ATOKEN_bar', 'TOKEN_tender'); pattern type: l1
len(selected_patterns):3827; curr precision: 0.8971; curr recall: 0.4699; curr f1: 0.6168; curr tp: 72449; curr fp: 8308; curr fn: 81716; curr tn: 1345051; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: ('DEP_nsubj', 'WORD', '_ATOKEN_falafel'); pattern type: l1
