len(selected_patterns):1; curr precision: 0.9958; curr recall: 0.0108; curr f1: 0.0214; curr tp: 1178; curr fp: 5; curr fn: 107973; curr tn: 1563173; precision of pattern: 0.9963; tp, abs. recall of pattern: 1178; pattern: _OSYNSET('PERFECT.A.01'); pattern type: l0
len(selected_patterns):1108; curr precision: 0.9032; curr recall: 0.245; curr f1: 0.3855; curr tp: 26743; curr fp: 2865; curr fn: 82408; curr tn: 1560313; precision of pattern: 0.9432; tp, abs. recall of pattern: 379; pattern: ('DEP_amod', 'WORD', "_OSYNSET('FAST.A.02')"); pattern type: l1
len(selected_patterns):1109; curr precision: 0.9032; curr recall: 0.2452; curr f1: 0.3857; curr tp: 26765; curr fp: 2870; curr fn: 82386; curr tn: 1560308; precision of pattern: 0.9355; tp, abs. recall of pattern: 349; pattern: ('PROX_near2', "_OSYNSET('GOOD.A.01')", 'POS_.'); pattern type: l1
len(selected_patterns):1110; curr precision: 0.9032; curr recall: 0.2455; curr f1: 0.3861; curr tp: 26801; curr fp: 2873; curr fn: 82350; curr tn: 1560305; precision of pattern: 0.9429; tp, abs. recall of pattern: 307; pattern: ('PROX_near1', "SYNSET('CAPTURE.V.02')", '_OPOS_J'); pattern type: l1
len(selected_patterns):1111; curr precision: 0.903; curr recall: 0.2456; curr f1: 0.3862; curr tp: 26807; curr fp: 2879; curr fn: 82344; curr tn: 1560299; precision of pattern: 0.9444; tp, abs. recall of pattern: 243; pattern: ('PROX_near2', "_OSYNSET('DIFFICULTY.N.02')", 'POS_DT'); pattern type: l1
len(selected_patterns):1112; curr precision: 0.903; curr recall: 0.2458; curr f1: 0.3864; curr tp: 26830; curr fp: 2882; curr fn: 82321; curr tn: 1560296; precision of pattern: 0.9385; tp, abs. recall of pattern: 233; pattern: ('SRL_arg1', 'POS_VBP', "_OSYNSET('GOOD.A.01')"); pattern type: l1
len(selected_patterns):1113; curr precision: 0.903; curr recall: 0.2458; curr f1: 0.3864; curr tp: 26831; curr fp: 2883; curr fn: 82320; curr tn: 1560295; precision of pattern: 0.9375; tp, abs. recall of pattern: 232; pattern: ('PROX_near2', "_OSYNSET('COPULATE.V.01')", 'POS_.'); pattern type: l1
len(selected_patterns):1114; curr precision: 0.9029; curr recall: 0.2459; curr f1: 0.3865; curr tp: 26839; curr fp: 2886; curr fn: 82312; curr tn: 1560292; precision of pattern: 0.9362; tp, abs. recall of pattern: 219; pattern: ('DEP_punct', "_OSYNSET('FAST.A.02')", 'POS_,'); pattern type: l1
len(selected_patterns):1115; curr precision: 0.9028; curr recall: 0.2459; curr f1: 0.3865; curr tp: 26840; curr fp: 2889; curr fn: 82311; curr tn: 1560289; precision of pattern: 0.9355; tp, abs. recall of pattern: 198; pattern: ('DEP_obj', "_OSYNSET('COPULATE.V.01')", 'POS_NN'); pattern type: l1
len(selected_patterns):1116; curr precision: 0.903; curr recall: 0.2473; curr f1: 0.3883; curr tp: 26994; curr fp: 2901; curr fn: 82157; curr tn: 1560277; precision of pattern: 0.9412; tp, abs. recall of pattern: 164; pattern: ('DEP_obj', '_OPOS_J', 'POS_PRP'); pattern type: l1
len(selected_patterns):1117; curr precision: 0.903; curr recall: 0.2473; curr f1: 0.3883; curr tp: 26995; curr fp: 2901; curr fn: 82156; curr tn: 1560277; precision of pattern: 0.9412; tp, abs. recall of pattern: 156; pattern: ('PROX_near2', 'POS_NN', "_OSYNSET('FAST.A.02')"); pattern type: l1
len(selected_patterns):1118; curr precision: 0.9029; curr recall: 0.2473; curr f1: 0.3883; curr tp: 26997; curr fp: 2903; curr fn: 82154; curr tn: 1560275; precision of pattern: 0.9412; tp, abs. recall of pattern: 80; pattern: ('PROX_near1', "_OSYNSET('REGRETFUL.A.01')", 'POS_IN'); pattern type: l1
len(selected_patterns):1119; curr precision: 0.9028; curr recall: 0.2477; curr f1: 0.3888; curr tp: 27042; curr fp: 2912; curr fn: 82109; curr tn: 1560266; precision of pattern: 0.9412; tp, abs. recall of pattern: 76; pattern: ('DEP_conj', "SYNSET('CAPTURE.V.02')", '_OPOS_J'); pattern type: l1
len(selected_patterns):1120; curr precision: 0.9027; curr recall: 0.2478; curr f1: 0.3888; curr tp: 27044; curr fp: 2914; curr fn: 82107; curr tn: 1560264; precision of pattern: 0.9412; tp, abs. recall of pattern: 74; pattern: ('SRL_arg1', "_OSYNSET('LOVE.V.01')", 'POS_CD'); pattern type: l1
len(selected_patterns):1121; curr precision: 0.9026; curr recall: 0.2479; curr f1: 0.3889; curr tp: 27054; curr fp: 2918; curr fn: 82097; curr tn: 1560260; precision of pattern: 0.9375; tp, abs. recall of pattern: 74; pattern: ('DEP_advcl', "_OSYNSET('SMALL.A.01')", 'WORD'); pattern type: l1
len(selected_patterns):1122; curr precision: 0.9026; curr recall: 0.248; curr f1: 0.3891; curr tp: 27072; curr fp: 2923; curr fn: 82079; curr tn: 1560255; precision of pattern: 0.9444; tp, abs. recall of pattern: 70; pattern: ('PROX_near2', 'POS_VBZ', "_OSYNSET('CHEAP.A.01')"); pattern type: l1
len(selected_patterns):1123; curr precision: 0.9024; curr recall: 0.2482; curr f1: 0.3893; curr tp: 27087; curr fp: 2931; curr fn: 82064; curr tn: 1560247; precision of pattern: 0.9444; tp, abs. recall of pattern: 65; pattern: ('PROX_near2', "SYNSET('SOUND_PROPERTY.N.01')", '_OPOS_J'); pattern type: l1
len(selected_patterns):1124; curr precision: 0.9023; curr recall: 0.2482; curr f1: 0.3893; curr tp: 27089; curr fp: 2933; curr fn: 82062; curr tn: 1560245; precision of pattern: 0.9412; tp, abs. recall of pattern: 60; pattern: ('SRL_none', 'WORD', "_OSYNSET('REGRETFUL.A.01')"); pattern type: l1
len(selected_patterns):1125; curr precision: 0.9023; curr recall: 0.2482; curr f1: 0.3893; curr tp: 27092; curr fp: 2933; curr fn: 82059; curr tn: 1560245; precision of pattern: 0.9412; tp, abs. recall of pattern: 59; pattern: ('SRL_arg1', "SYNSET('INDUCE.V.02')", "_OSYNSET('GOOD.A.01')"); pattern type: l1
len(selected_patterns):1126; curr precision: 0.9022; curr recall: 0.2482; curr f1: 0.3893; curr tp: 27093; curr fp: 2936; curr fn: 82058; curr tn: 1560242; precision of pattern: 0.9412; tp, abs. recall of pattern: 56; pattern: ('SRL_arg1', "SYNSET('CHANGE.V.02')", "_OSYNSET('GOOD.A.01')"); pattern type: l1
len(selected_patterns):1127; curr precision: 0.9022; curr recall: 0.2482; curr f1: 0.3893; curr tp: 27094; curr fp: 2936; curr fn: 82057; curr tn: 1560242; precision of pattern: 0.9412; tp, abs. recall of pattern: 51; pattern: ('PROX_near2', "_OSYNSET('REGRETFUL.A.01')", 'POS_IN'); pattern type: l1
len(selected_patterns):1128; curr precision: 0.9022; curr recall: 0.2483; curr f1: 0.3894; curr tp: 27097; curr fp: 2936; curr fn: 82054; curr tn: 1560242; precision of pattern: 0.9412; tp, abs. recall of pattern: 51; pattern: ('SRL_arg1', "_OSYNSET('LOVE.V.01')", "SYNSET('DEVICE.N.01')"); pattern type: l1
len(selected_patterns):1129; curr precision: 0.9023; curr recall: 0.2483; curr f1: 0.3894; curr tp: 27101; curr fp: 2936; curr fn: 82050; curr tn: 1560242; precision of pattern: 0.9444; tp, abs. recall of pattern: 48; pattern: ('DEP_cop', "_OSYNSET('HAPPY.A.01')", 'POS_VBZ'); pattern type: l1
len(selected_patterns):1130; curr precision: 0.9022; curr recall: 0.2483; curr f1: 0.3894; curr tp: 27103; curr fp: 2937; curr fn: 82048; curr tn: 1560241; precision of pattern: 0.9412; tp, abs. recall of pattern: 44; pattern: ('SRL_arg1', "SYNSET('EXPERIENCE.V.03')", "_OSYNSET('GOOD.A.01')"); pattern type: l1
len(selected_patterns):1131; curr precision: 0.9022; curr recall: 0.2483; curr f1: 0.3894; curr tp: 27104; curr fp: 2938; curr fn: 82047; curr tn: 1560240; precision of pattern: 0.9375; tp, abs. recall of pattern: 41; pattern: ('SRL_arg1', 'POS_VB', "_OSYNSET('REGRETFUL.A.01')"); pattern type: l1
len(selected_patterns):1132; curr precision: 0.9018; curr recall: 0.2486; curr f1: 0.3897; curr tp: 27130; curr fp: 2954; curr fn: 82021; curr tn: 1560224; precision of pattern: 0.9375; tp, abs. recall of pattern: 40; pattern: ('DEP_nsubj', '_OPOS_J', 'POS_PRP$'); pattern type: l1
len(selected_patterns):1133; curr precision: 0.9017; curr recall: 0.2487; curr f1: 0.3899; curr tp: 27151; curr fp: 2961; curr fn: 82000; curr tn: 1560217; precision of pattern: 0.9375; tp, abs. recall of pattern: 38; pattern: ('DEP_obl', '_OPOS_J', 'POS_VBN'); pattern type: l1
len(selected_patterns):1134; curr precision: 0.9015; curr recall: 0.2489; curr f1: 0.3901; curr tp: 27170; curr fp: 2968; curr fn: 81981; curr tn: 1560210; precision of pattern: 0.9375; tp, abs. recall of pattern: 27; pattern: ('DEP_amod', 'POS_JJ', "_OSYNSET('LARGE.A.01')"); pattern type: l1
len(selected_patterns):1135; curr precision: 0.9002; curr recall: 0.2912; curr f1: 0.4401; curr tp: 31787; curr fp: 3525; curr fn: 77364; curr tn: 1559653; precision of pattern: 0.9314; tp, abs. recall of pattern: 9207; pattern: ('DEP_nsubj', '_OPOS_J', 'POS_NN'); pattern type: l1
len(selected_patterns):1136; curr precision: 0.8998; curr recall: 0.2914; curr f1: 0.4402; curr tp: 31803; curr fp: 3540; curr fn: 77348; curr tn: 1559638; precision of pattern: 0.9303; tp, abs. recall of pattern: 1578; pattern: ('SRL_arg2', 'WORD', "_OSYNSET('GOOD.A.01')"); pattern type: l1
len(selected_patterns):1137; curr precision: 0.8998; curr recall: 0.2914; curr f1: 0.4403; curr tp: 31812; curr fp: 3544; curr fn: 77339; curr tn: 1559634; precision of pattern: 0.9313; tp, abs. recall of pattern: 1245; pattern: _OSYNSET('FAST.A.02'); pattern type: l0
len(selected_patterns):1138; curr precision: 0.8994; curr recall: 0.2915; curr f1: 0.4403; curr tp: 31818; curr fp: 3557; curr fn: 77333; curr tn: 1559621; precision of pattern: 0.9344; tp, abs. recall of pattern: 772; pattern: ('PROX_near1', 'POS_RB', "_OSYNSET('GOOD.A.01')"); pattern type: l1
len(selected_patterns):1139; curr precision: 0.8991; curr recall: 0.2918; curr f1: 0.4406; curr tp: 31848; curr fp: 3573; curr fn: 77303; curr tn: 1559605; precision of pattern: 0.9278; tp, abs. recall of pattern: 682; pattern: ('DEP_obj', "_OSYNSET('LOVE.V.01')", 'POS_NN'); pattern type: l1
len(selected_patterns):1140; curr precision: 0.8991; curr recall: 0.2919; curr f1: 0.4407; curr tp: 31856; curr fp: 3576; curr fn: 77295; curr tn: 1559602; precision of pattern: 0.9266; tp, abs. recall of pattern: 670; pattern: ('PROX_near1', "_OSYNSET('LOVE.V.01')", 'POS_DT'); pattern type: l1
len(selected_patterns):1141; curr precision: 0.8991; curr recall: 0.2919; curr f1: 0.4407; curr tp: 31857; curr fp: 3576; curr fn: 77294; curr tn: 1559602; precision of pattern: 0.9259; tp, abs. recall of pattern: 495; pattern: ('PROX_near2', "_OSYNSET('LOVE.V.01')", 'POS_NN'); pattern type: l1
len(selected_patterns):1142; curr precision: 0.899; curr recall: 0.2919; curr f1: 0.4407; curr tp: 31863; curr fp: 3579; curr fn: 77288; curr tn: 1559599; precision of pattern: 0.931; tp, abs. recall of pattern: 324; pattern: ('PROX_near2', 'POS_RB', "_OSYNSET('GOOD.A.01')"); pattern type: l1
len(selected_patterns):1143; curr precision: 0.8987; curr recall: 0.2921; curr f1: 0.4409; curr tp: 31880; curr fp: 3595; curr fn: 77271; curr tn: 1559583; precision of pattern: 0.9268; tp, abs. recall of pattern: 319; pattern: ('SRL_argm-adv', "_OSYNSET('LOVE.V.01')", 'WORD'); pattern type: l1
len(selected_patterns):1144; curr precision: 0.8988; curr recall: 0.2934; curr f1: 0.4424; curr tp: 32021; curr fp: 3604; curr fn: 77130; curr tn: 1559574; precision of pattern: 0.9318; tp, abs. recall of pattern: 304; pattern: ('DEP_csubj', '_OPOS_J', 'POS_VBG'); pattern type: l1
len(selected_patterns):1145; curr precision: 0.8988; curr recall: 0.2934; curr f1: 0.4424; curr tp: 32023; curr fp: 3604; curr fn: 77128; curr tn: 1559574; precision of pattern: 0.9348; tp, abs. recall of pattern: 230; pattern: ('PROX_near1', 'POS_RB', "_OSYNSET('REGRETFUL.A.01')"); pattern type: l1
len(selected_patterns):1146; curr precision: 0.8986; curr recall: 0.294; curr f1: 0.443; curr tp: 32087; curr fp: 3619; curr fn: 77064; curr tn: 1559559; precision of pattern: 0.9286; tp, abs. recall of pattern: 180; pattern: ('DEP_obl', '_OPOS_J', "SYNSET('REWARD.N.04')"); pattern type: l1
len(selected_patterns):1147; curr precision: 0.8985; curr recall: 0.2941; curr f1: 0.4432; curr tp: 32104; curr fp: 3625; curr fn: 77047; curr tn: 1559553; precision of pattern: 0.9302; tp, abs. recall of pattern: 144; pattern: ('DEP_aux', "_OSYNSET('HAPPY.A.01')", 'WORD'); pattern type: l1
len(selected_patterns):1148; curr precision: 0.8981; curr recall: 0.2944; curr f1: 0.4434; curr tp: 32132; curr fp: 3644; curr fn: 77019; curr tn: 1559534; precision of pattern: 0.9259; tp, abs. recall of pattern: 96; pattern: ('DEP_conj', '_OPOS_J', "SYNSET('CAPTURE.V.02')"); pattern type: l1
len(selected_patterns):1149; curr precision: 0.8981; curr recall: 0.2944; curr f1: 0.4434; curr tp: 32134; curr fp: 3647; curr fn: 77017; curr tn: 1559531; precision of pattern: 0.9333; tp, abs. recall of pattern: 62; pattern: ('PROX_near1', "SYNSET('BE.V.01')", "_OSYNSET('HAPPY.A.01')"); pattern type: l1
len(selected_patterns):1150; curr precision: 0.898; curr recall: 0.2945; curr f1: 0.4435; curr tp: 32142; curr fp: 3652; curr fn: 77009; curr tn: 1559526; precision of pattern: 0.9333; tp, abs. recall of pattern: 61; pattern: ('SRL_argm-adv', 'POS_VB', "_OSYNSET('GOOD.A.01')"); pattern type: l1
len(selected_patterns):1151; curr precision: 0.8978; curr recall: 0.2945; curr f1: 0.4436; curr tp: 32149; curr fp: 3659; curr fn: 77002; curr tn: 1559519; precision of pattern: 0.9333; tp, abs. recall of pattern: 60; pattern: ('DEP_advmod', "SYNSET('SUCCEED.V.01')", '_OPOS_J'); pattern type: l1
len(selected_patterns):1152; curr precision: 0.8978; curr recall: 0.2945; curr f1: 0.4436; curr tp: 32150; curr fp: 3659; curr fn: 77001; curr tn: 1559519; precision of pattern: 0.9333; tp, abs. recall of pattern: 57; pattern: ('DEP_conj', "_OSYNSET('LOVE.V.01')", 'POS_VBP'); pattern type: l1
len(selected_patterns):1153; curr precision: 0.8972; curr recall: 0.2948; curr f1: 0.4438; curr tp: 32179; curr fp: 3689; curr fn: 76972; curr tn: 1559489; precision of pattern: 0.9333; tp, abs. recall of pattern: 57; pattern: ('DEP_conj', "SYNSET('CHANGE.V.02')", '_OPOS_J'); pattern type: l1
len(selected_patterns):1154; curr precision: 0.8971; curr recall: 0.2952; curr f1: 0.4443; curr tp: 32225; curr fp: 3696; curr fn: 76926; curr tn: 1559482; precision of pattern: 0.9333; tp, abs. recall of pattern: 54; pattern: ('DEP_xcomp', "SYNSET('TRAVEL.V.01')", '_OPOS_J'); pattern type: l1
len(selected_patterns):1155; curr precision: 0.8969; curr recall: 0.2954; curr f1: 0.4444; curr tp: 32243; curr fp: 3708; curr fn: 76908; curr tn: 1559470; precision of pattern: 0.9333; tp, abs. recall of pattern: 50; pattern: ('DEP_conj', '_OPOS_J', "SYNSET('INTERACT.V.01')"); pattern type: l1
len(selected_patterns):1156; curr precision: 0.8967; curr recall: 0.2956; curr f1: 0.4447; curr tp: 32268; curr fp: 3716; curr fn: 76883; curr tn: 1559462; precision of pattern: 0.9286; tp, abs. recall of pattern: 49; pattern: ('DEP_advmod', "SYNSET('LEAVE.V.01')", '_OPOS_J'); pattern type: l1
len(selected_patterns):1157; curr precision: 0.8967; curr recall: 0.2959; curr f1: 0.4449; curr tp: 32294; curr fp: 3721; curr fn: 76857; curr tn: 1559457; precision of pattern: 0.9333; tp, abs. recall of pattern: 46; pattern: ('PROX_near2', "SYNSET('EASY.A.03')", '_OPOS_J'); pattern type: l1
len(selected_patterns):1158; curr precision: 0.8964; curr recall: 0.296; curr f1: 0.4451; curr tp: 32313; curr fp: 3736; curr fn: 76838; curr tn: 1559442; precision of pattern: 0.9333; tp, abs. recall of pattern: 35; pattern: ('DEP_obl', '_OPOS_J', "SYNSET('DISPLAY.N.06')"); pattern type: l1
len(selected_patterns):1159; curr precision: 0.8949; curr recall: 0.3074; curr f1: 0.4576; curr tp: 33555; curr fp: 3940; curr fn: 75596; curr tn: 1559238; precision of pattern: 0.9213; tp, abs. recall of pattern: 2502; pattern: ('DEP_xcomp', 'POS_VBZ', '_OPOS_J'); pattern type: l1
len(selected_patterns):1160; curr precision: 0.8948; curr recall: 0.3077; curr f1: 0.4579; curr tp: 33582; curr fp: 3949; curr fn: 75569; curr tn: 1559229; precision of pattern: 0.9156; tp, abs. recall of pattern: 644; pattern: ('PROX_near1', "_OSYNSET('HAPPY.A.01')", 'POS_IN'); pattern type: l1
len(selected_patterns):1161; curr precision: 0.8947; curr recall: 0.308; curr f1: 0.4583; curr tp: 33620; curr fp: 3955; curr fn: 75531; curr tn: 1559223; precision of pattern: 0.9181; tp, abs. recall of pattern: 642; pattern: ('PROX_near2', "_OSYNSET('GOOD.A.01')", 'POS_IN'); pattern type: l1
len(selected_patterns):1162; curr precision: 0.8947; curr recall: 0.3083; curr f1: 0.4586; curr tp: 33649; curr fp: 3961; curr fn: 75502; curr tn: 1559217; precision of pattern: 0.9217; tp, abs. recall of pattern: 401; pattern: ('SRL_none', 'POS_JJ', '_OPOS_J'); pattern type: l1
len(selected_patterns):1163; curr precision: 0.8947; curr recall: 0.3083; curr f1: 0.4586; curr tp: 33650; curr fp: 3961; curr fn: 75501; curr tn: 1559217; precision of pattern: 0.9189; tp, abs. recall of pattern: 312; pattern: ('PROX_near2', "_OSYNSET('HAPPY.A.01')", 'POS_DT'); pattern type: l1
len(selected_patterns):1164; curr precision: 0.8947; curr recall: 0.3083; curr f1: 0.4586; curr tp: 33651; curr fp: 3962; curr fn: 75500; curr tn: 1559216; precision of pattern: 0.9155; tp, abs. recall of pattern: 308; pattern: ('SRL_arg1', "_OSYNSET('LOVE.V.01')", 'POS_IN'); pattern type: l1
len(selected_patterns):1165; curr precision: 0.8943; curr recall: 0.3085; curr f1: 0.4587; curr tp: 33670; curr fp: 3979; curr fn: 75481; curr tn: 1559199; precision of pattern: 0.918; tp, abs. recall of pattern: 294; pattern: ('SRL_argm-mnr', "SYNSET('BECOME.V.01')", '_OPOS_J'); pattern type: l1
len(selected_patterns):1166; curr precision: 0.8943; curr recall: 0.3085; curr f1: 0.4587; curr tp: 33671; curr fp: 3979; curr fn: 75480; curr tn: 1559199; precision of pattern: 0.9194; tp, abs. recall of pattern: 282; pattern: ('PROX_near2', "SYNSET('BE.V.01')", "_OSYNSET('GOOD.A.01')"); pattern type: l1
len(selected_patterns):1167; curr precision: 0.8943; curr recall: 0.3085; curr f1: 0.4588; curr tp: 33676; curr fp: 3981; curr fn: 75475; curr tn: 1559197; precision of pattern: 0.9221; tp, abs. recall of pattern: 279; pattern: ('PROX_near2', 'POS_DT', "_OSYNSET('GOOD.A.01')"); pattern type: l1
len(selected_patterns):1168; curr precision: 0.8932; curr recall: 0.3105; curr f1: 0.4608; curr tp: 33886; curr fp: 4050; curr fn: 75265; curr tn: 1559128; precision of pattern: 0.9219; tp, abs. recall of pattern: 262; pattern: ('PROX_near1', '_OPOS_J', "SYNSET('TEAM.N.01')"); pattern type: l1
len(selected_patterns):1169; curr precision: 0.8932; curr recall: 0.3105; curr f1: 0.4608; curr tp: 33887; curr fp: 4050; curr fn: 75264; curr tn: 1559128; precision of pattern: 0.9167; tp, abs. recall of pattern: 237; pattern: ('PROX_near1', 'POS_RB', "_OSYNSET('LOVE.V.01')"); pattern type: l1
len(selected_patterns):1170; curr precision: 0.8932; curr recall: 0.3105; curr f1: 0.4608; curr tp: 33889; curr fp: 4050; curr fn: 75262; curr tn: 1559128; precision of pattern: 0.9245; tp, abs. recall of pattern: 214; pattern: ('DEP_amod', "SYNSET('PORTABLE_COMPUTER.N.01')", "_OSYNSET('GOOD.A.01')"); pattern type: l1
len(selected_patterns):1171; curr precision: 0.8932; curr recall: 0.3105; curr f1: 0.4608; curr tp: 33892; curr fp: 4051; curr fn: 75259; curr tn: 1559127; precision of pattern: 0.9194; tp, abs. recall of pattern: 211; pattern: ('PROX_near2', "_OSYNSET('GOOD.A.01')", 'POS_DT'); pattern type: l1
len(selected_patterns):1172; curr precision: 0.8927; curr recall: 0.3107; curr f1: 0.461; curr tp: 33915; curr fp: 4077; curr fn: 75236; curr tn: 1559101; precision of pattern: 0.9184; tp, abs. recall of pattern: 197; pattern: ('PROX_near2', "SYNSET('DISPLAY.N.06')", '_OPOS_J'); pattern type: l1
len(selected_patterns):1173; curr precision: 0.8927; curr recall: 0.3112; curr f1: 0.4616; curr tp: 33972; curr fp: 4085; curr fn: 75179; curr tn: 1559093; precision of pattern: 0.9167; tp, abs. recall of pattern: 181; pattern: ('PROX_near1', "SYNSET('WORK.V.01')", '_OPOS_J'); pattern type: l1
len(selected_patterns):1174; curr precision: 0.8927; curr recall: 0.3112; curr f1: 0.4616; curr tp: 33973; curr fp: 4085; curr fn: 75178; curr tn: 1559093; precision of pattern: 0.9167; tp, abs. recall of pattern: 149; pattern: ('PROX_near1', "_OSYNSET('GOOD.A.01')", 'POS_,'); pattern type: l1
len(selected_patterns):1175; curr precision: 0.8926; curr recall: 0.3118; curr f1: 0.4622; curr tp: 34033; curr fp: 4094; curr fn: 75118; curr tn: 1559084; precision of pattern: 0.9211; tp, abs. recall of pattern: 147; pattern: ('DEP_root', 'POS_NN', '_OPOS_J'); pattern type: l1
len(selected_patterns):1176; curr precision: 0.8925; curr recall: 0.3118; curr f1: 0.4622; curr tp: 34037; curr fp: 4098; curr fn: 75114; curr tn: 1559080; precision of pattern: 0.9231; tp, abs. recall of pattern: 142; pattern: ('DEP_cop', "_OSYNSET('SMALL.A.01')", "SYNSET('BE.V.01')"); pattern type: l1
len(selected_patterns):1177; curr precision: 0.8922; curr recall: 0.3121; curr f1: 0.4624; curr tp: 34067; curr fp: 4117; curr fn: 75084; curr tn: 1559061; precision of pattern: 0.9231; tp, abs. recall of pattern: 114; pattern: ('PROX_near1', "_OSYNSET('SMALL.A.01')", 'POS_.'); pattern type: l1
len(selected_patterns):1178; curr precision: 0.8921; curr recall: 0.3123; curr f1: 0.4626; curr tp: 34083; curr fp: 4123; curr fn: 75068; curr tn: 1559055; precision of pattern: 0.92; tp, abs. recall of pattern: 108; pattern: ('PROX_near2', 'POS_VBN', "_OSYNSET('DIFFICULTY.N.02')"); pattern type: l1
len(selected_patterns):1179; curr precision: 0.8921; curr recall: 0.3125; curr f1: 0.4629; curr tp: 34112; curr fp: 4127; curr fn: 75039; curr tn: 1559051; precision of pattern: 0.9167; tp, abs. recall of pattern: 91; pattern: ('SRL_arg1', "SYNSET('SLEEP_TOGETHER.V.01')", "_OSYNSET('DIFFICULTY.N.02')"); pattern type: l1
len(selected_patterns):1180; curr precision: 0.892; curr recall: 0.3125; curr f1: 0.4629; curr tp: 34113; curr fp: 4129; curr fn: 75038; curr tn: 1559049; precision of pattern: 0.9231; tp, abs. recall of pattern: 87; pattern: ('DEP_det', "_OSYNSET('GOOD.A.01')", 'WORD'); pattern type: l1
len(selected_patterns):1181; curr precision: 0.892; curr recall: 0.3126; curr f1: 0.463; curr tp: 34121; curr fp: 4131; curr fn: 75030; curr tn: 1559047; precision of pattern: 0.9167; tp, abs. recall of pattern: 63; pattern: ('SRL_verb', 'POS_PRP', "_OSYNSET('LOVE.V.01')"); pattern type: l1
len(selected_patterns):1182; curr precision: 0.8919; curr recall: 0.3128; curr f1: 0.4631; curr tp: 34140; curr fp: 4137; curr fn: 75011; curr tn: 1559041; precision of pattern: 0.9167; tp, abs. recall of pattern: 63; pattern: ('DEP_advmod', '_OPOS_J', "SYNSET('OTHER.A.01')"); pattern type: l1
len(selected_patterns):1183; curr precision: 0.892; curr recall: 0.3131; curr f1: 0.4635; curr tp: 34176; curr fp: 4139; curr fn: 74975; curr tn: 1559039; precision of pattern: 0.9231; tp, abs. recall of pattern: 62; pattern: ('DEP_obl:npmod', '_OWORD', "SYNSET('PERSON.N.01')"); pattern type: l1
len(selected_patterns):1184; curr precision: 0.8913; curr recall: 0.3133; curr f1: 0.4636; curr tp: 34196; curr fp: 4169; curr fn: 74955; curr tn: 1559009; precision of pattern: 0.9231; tp, abs. recall of pattern: 58; pattern: ('PROX_near2', "SYNSET('RAINCOAT.N.01')", '_OPOS_J'); pattern type: l1
len(selected_patterns):1185; curr precision: 0.8911; curr recall: 0.3134; curr f1: 0.4637; curr tp: 34208; curr fp: 4180; curr fn: 74943; curr tn: 1558998; precision of pattern: 0.9167; tp, abs. recall of pattern: 53; pattern: ('SRL_argm-neg', "SYNSET('BECOME.V.01')", '_OWORD'); pattern type: l1
len(selected_patterns):1186; curr precision: 0.8911; curr recall: 0.3134; curr f1: 0.4637; curr tp: 34211; curr fp: 4183; curr fn: 74940; curr tn: 1558995; precision of pattern: 0.9231; tp, abs. recall of pattern: 51; pattern: ('PROX_near2', "_OSYNSET('DIFFICULTY.N.02')", 'POS_NN'); pattern type: l1
len(selected_patterns):1187; curr precision: 0.891; curr recall: 0.3135; curr f1: 0.4638; curr tp: 34214; curr fp: 4187; curr fn: 74937; curr tn: 1558991; precision of pattern: 0.9231; tp, abs. recall of pattern: 48; pattern: ('DEP_parataxis', "_OSYNSET('SMALL.A.01')", 'WORD'); pattern type: l1
len(selected_patterns):1188; curr precision: 0.8909; curr recall: 0.3136; curr f1: 0.4639; curr tp: 34232; curr fp: 4194; curr fn: 74919; curr tn: 1558984; precision of pattern: 0.9231; tp, abs. recall of pattern: 46; pattern: ('DEP_obl', '_OPOS_J', "SYNSET('CATEGORY.N.02')"); pattern type: l1
len(selected_patterns):1189; curr precision: 0.8908; curr recall: 0.3137; curr f1: 0.464; curr tp: 34242; curr fp: 4196; curr fn: 74909; curr tn: 1558982; precision of pattern: 0.9167; tp, abs. recall of pattern: 41; pattern: ('DEP_xcomp', 'WORD', "_OSYNSET('SMALL.A.01')"); pattern type: l1
len(selected_patterns):1190; curr precision: 0.8905; curr recall: 0.3139; curr f1: 0.4642; curr tp: 34267; curr fp: 4215; curr fn: 74884; curr tn: 1558963; precision of pattern: 0.9167; tp, abs. recall of pattern: 36; pattern: ('PROX_near1', 'POS_,', "_OSYNSET('LARGE.A.01')"); pattern type: l1
len(selected_patterns):1191; curr precision: 0.8905; curr recall: 0.314; curr f1: 0.4643; curr tp: 34271; curr fp: 4215; curr fn: 74880; curr tn: 1558963; precision of pattern: 0.9167; tp, abs. recall of pattern: 36; pattern: ('DEP_parataxis', 'POS_NN', "_OSYNSET('LOVE.V.01')"); pattern type: l1
len(selected_patterns):1192; curr precision: 0.8901; curr recall: 0.3141; curr f1: 0.4643; curr tp: 34284; curr fp: 4234; curr fn: 74867; curr tn: 1558944; precision of pattern: 0.9231; tp, abs. recall of pattern: 35; pattern: ('SRL_argm-mnr', "SYNSET('PRACTICE.V.01')", '_OPOS_J'); pattern type: l1
len(selected_patterns):1193; curr precision: 0.8901; curr recall: 0.3141; curr f1: 0.4644; curr tp: 34287; curr fp: 4234; curr fn: 74864; curr tn: 1558944; precision of pattern: 0.9167; tp, abs. recall of pattern: 35; pattern: ('DEP_nsubj', '_OPOS_J', "SYNSET('CONTENT.N.05')"); pattern type: l1
